Resistance,Capacitance,Stated BW,Measured BW,,R,C,S BW,M BW
2.00E+04,0.00E+00,6.00E+05,,,500000,0,200000,
2.00E+04,1.30E-12,5.97E+05,,,500000,0,400000,
2.00E+04,3.30E-12,5.82E+05,,,500000,0,600000,
2.00E+04,4.60E-12,5.67E+05,,,500000,0,1000000,
3.00E+04,0.00E+00,6.00E+05,,,500000,1.30E-12,155000,
3.00E+04,1.30E-12,5.94E+05,,,500000,1.30E-12,209000,
3.00E+04,3.30E-12,5.62E+05,,,500000,1.30E-12,227000,
3.00E+04,4.60E-12,5.32E+05,,,500000,1.30E-12,238000,
4.00E+04,0.00E+00,6.00E+05,,,,,,
4.00E+04,1.30E-12,5.89E+05,,,,,,
4.00E+04,3.30E-12,5.37E+05,,,,,,
4.00E+04,4.60E-12,4.93E+05,,,,,,
8.00E+04,0.00E+00,6.00E+05,,,,,,
8.00E+04,1.30E-12,5.59E+05,,,,,,
8.00E+04,3.30E-12,4.25E+05,,,,,,
8.00E+04,4.60E-12,3.51E+05,,,,,,
1.20E+05,0.00E+00,6.00E+05,,,,,,
1.20E+05,1.30E-12,5.17E+05,,,,,,
1.20E+05,3.30E-12,3.34E+05,,,,,,
1.20E+05,4.60E-12,2.60E+05,,,,,,
2.50E+05,0.00E+00,6.00E+05,,,,,,
2.50E+05,1.30E-12,3.79E+05,,,,,,
2.50E+05,3.30E-12,1.84E+05,,,,,,
2.50E+05,4.60E-12,1.35E+05,,,,,,
5.00E+05,0.00E+00,6.00E+05,,,,,,
5.00E+05,1.30E-12,2.27E+05,,,,,,
5.00E+05,3.30E-12,9.50E+04,,,,,,
5.00E+05,4.60E-12,6.90E+04,,,,,,
1.00E+06,0.00E+00,6.00E+05,,,,,,
1.00E+06,1.30E-12,1.20E+05,,,,,,
1.00E+06,3.30E-12,4.80E+04,,,,,,
1.00E+06,4.60E-12,3.50E+04,,,,,,
